video_id,video_title,publish_time,view_count,like_count,comment_count,likes_percentual,comments_percentual
61z_RTmQgwY,Works Like Magic! Pour Super Glue on Thread and Be Amazed,2022-11-01 23:11:41+00:00,70767.0,1426.0,78.0,2.0150635183065555,0.11022086565772182
yu7KiFdQmmg,Super Glue and Baking soda! Pour Glue on Baking soda and make gear wheel,2022-10-30 22:41:05+00:00,393842.0,1923.0,129.0,0.4882668684396281,0.032754251704998454
ImLAmfM_AgA,Super Glue and Baking soda! Pour Glue on Baking soda and Amaze With Results,2022-10-29 02:46:12+00:00,766344.0,4262.0,253.0,0.5561471088701679,0.03301389454344263
fGNKCWru98Q,Genius Inventions Of Handyman￼,2022-10-27 02:11:07+00:00,152400.0,2347.0,96.0,1.54002624671916,0.06299212598425197
G-nNnX_Pvhc,Super Glue and Styrofoam ! Pour Glue on Styrofoam and Amaze With Results,2022-10-24 00:48:47+00:00,1159762.0,5992.0,245.0,0.5166577280511001,0.02112502392732302
pj52bbMn-XQ,Super Glue and Baking soda ! Pour Glue on Baking soda and Amaze With Results,2022-10-22 02:03:59+00:00,6159554.0,8978.0,402.0,0.14575730645433094,0.006526446557656609
FBTy5TqFx80,This Silicone Trick Will Change the Way You Apply Silicone!,2022-10-20 02:07:12+00:00,206205.0,2085.0,42.0,1.0111297010256783,0.02036808030843093
cW5Uu4FVdts,Handyman&#39;s Secret inventions and Tips,2022-10-17 02:05:32+00:00,343652.0,2619.0,47.0,0.7621081792045441,0.013676626354567994
eP3xJIJ-TbU,Super Glue and Baking soda ! Pour Glue on Baking soda and Amaze With Results,2022-10-15 01:40:57+00:00,18040390.0,79070.0,2756.0,0.4382942940812255,0.015276831598429968
p-MupHbJOUY,Clever Handyman Inventions,2022-10-13 00:54:27+00:00,996725.0,2988.0,62.0,0.29978178534701144,0.006220371717374401
QWbaLuY7v_k,Super Glue and Cotton Miracle ! Pour Glue on Cotton and Amaze With Results,2022-10-10 01:49:53+00:00,2526868.0,4699.0,270.0,0.18596143526294212,0.010685164401147982
zEV-evl5qQA,Modern Construction Inventions &amp; Innovative Building Methods,2022-10-08 01:47:38+00:00,526123.0,2037.0,76.0,0.38717182103804626,0.014445291310206929
IpCVl8RGEwk,Modern Construction Inventions &amp; Innovative Building Methods,2022-10-06 01:16:12+00:00,411531.0,2195.0,75.0,0.5333741565033983,0.0182246294932824
P1pvdn9u6sI,DIY INVENTIONS of Handyman,2022-09-29 03:34:52+00:00,177520.0,2140.0,68.0,1.2054979720594863,0.03830554303740424
fxQVrIPJ0Ck,Modern Construction Inventions &amp; Innovative Building Methods,2022-09-26 01:57:18+00:00,,,,,
iVHlKuewSC8,"AFTER LEARNING THIS SECRET, you will never throw away a broken knife! A brilliant idea .",2022-09-19 02:30:41+00:00,138114.0,2169.0,118.0,1.5704418089404406,0.0854366682595537
E1hF6_YP8NI,Awesome invention of Mankind That Work Extremely Well,2022-09-12 02:12:03+00:00,497262.0,2220.0,84.0,0.4464447313488664,0.016892503348335485
